live_pass,dead_pass,fk_pass,tb_pass,sw_pass,cross_pass,throw_in,ck,ck_in,ck_out,ck_straight,offside_pass,blocked_pass,season,comp,id
37,1,1,0,0,0,0,0,0,0,0,0,1,18,ENG,210d9ecb
1335,292,25,5,8,122,239,28,11,14,1,11,28,18,ENG,21512407
90,0,0,0,1,2,0,0,0,0,0,1,1,18,ENG,21a66e33
658,28,4,13,26,20,9,1,0,0,0,10,30,18,ENG,21a66f6a
813,226,12,1,2,45,214,0,0,0,0,1,16,18,ENG,22551915
1170,78,10,14,5,121,16,31,15,13,0,7,63,18,ENG,2475dcc6
147,33,1,0,0,13,32,0,0,0,0,1,10,18,ENG,24fae784
87,12,0,1,1,4,0,0,0,0,0,0,2,18,ENG,25b166d0
846,36,20,0,7,8,16,0,0,0,0,0,13,18,ENG,25f50295
384,3,3,3,6,2,0,0,0,0,0,2,5,18,ENG,2649ff32
224,9,0,0,2,5,1,0,0,0,0,2,5,18,ENG,26679cdf
515,13,0,3,0,16,2,0,0,0,0,3,17,18,ENG,2691c772
1176,125,48,6,4,83,5,51,32,13,0,8,18,18,ENG,26f6dca8
227,8,0,0,0,1,0,0,0,0,0,2,5,18,ENG,27d7453c
1466,52,37,3,61,7,15,0,0,0,0,11,13,18,ENG,282f75f3
648,18,17,0,3,0,1,0,0,0,0,2,5,18,ENG,285a3d44
1228,113,37,4,11,111,15,54,38,9,1,4,24,18,ENG,29733c72
87,9,0,0,0,0,0,0,0,0,0,1,5,18,ENG,2973d8ff
879,20,6,3,6,19,11,2,0,0,0,1,24,18,ENG,2acd49b9
1221,41,21,5,15,29,5,15,9,1,1,1,17,18,ENG,2afc7272
1125,80,4,2,2,93,21,55,2,39,0,3,30,18,ENG,2b114be3
977,7,4,6,9,10,3,0,0,0,0,3,5,18,ENG,2b471f99
114,0,0,0,0,1,0,0,0,0,0,0,4,18,ENG,2b622f01
680,31,21,1,3,2,10,0,0,0,0,4,8,18,ENG,2b91cf8e
0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,2baec6ce
1460,92,30,29,17,97,1,54,33,9,0,12,57,18,ENG,2c0f8e9e
1613,83,54,3,20,39,5,24,12,1,4,5,32,18,ENG,2ce2508a
1497,182,12,3,3,88,170,0,0,0,0,2,42,18,ENG,2e4f5f03
563,29,27,1,6,5,1,1,1,0,0,0,6,18,ENG,2f4c5a52
1295,298,12,0,3,163,286,0,0,0,0,3,69,18,ENG,2f72f79e
641,12,7,4,3,10,1,0,0,0,0,2,6,18,ENG,2f7acede
1492,138,37,7,16,123,27,60,26,21,0,6,35,18,ENG,2f90f6b8
504,18,1,0,0,38,16,0,0,0,0,2,38,18,ENG,2ff964a0
0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,31dce0c8
905,288,22,2,6,23,266,0,0,0,0,2,26,18,ENG,3201b03d
932,43,38,0,15,4,5,0,0,0,0,8,5,18,ENG,3233eefd
487,140,37,0,1,0,0,0,0,0,0,3,1,18,ENG,32e7ce92
675,151,10,0,1,31,141,0,0,0,0,1,30,18,ENG,3312f911
2075,259,102,22,11,140,4,151,26,53,6,17,38,18,ENG,33508c78
765,149,45,0,4,159,8,93,50,36,1,5,24,18,ENG,3515d404
381,16,12,0,3,5,4,0,0,0,0,4,6,18,ENG,356a9a62
76,0,0,0,1,0,0,0,0,0,0,0,2,18,ENG,3680d723
246,216,58,0,1,0,0,0,0,0,0,0,0,18,ENG,36c2ca73
1302,165,107,21,23,79,6,45,24,13,1,13,21,18,ENG,3727dd3c
150,9,3,0,2,27,1,4,0,2,1,0,9,18,ENG,381d7d54
990,292,15,0,3,82,277,0,0,0,0,11,42,18,ENG,3831b9fe
19,1,0,0,0,3,0,0,0,0,0,0,1,18,ENG,38aefb74
876,71,13,13,14,86,25,32,20,11,0,7,17,18,ENG,38c7feef
54,1,0,0,0,0,1,0,0,0,0,0,2,18,ENG,3925dbd6
1294,219,16,0,4,42,203,0,0,0,0,2,38,18,ENG,3935e52e
150,9,1,1,0,15,2,6,3,0,1,1,10,18,ENG,39583cfd
52,0,0,0,0,2,0,0,0,0,0,1,1,18,ENG,3a24769f
212,136,43,0,1,0,0,0,0,0,0,0,0,18,ENG,3a949a25
275,11,0,0,8,7,11,0,0,0,0,2,9,18,ENG,3bb625ac
879,216,56,0,9,0,0,0,0,0,0,3,0,18,ENG,3bb7b8b4
23,1,1,0,1,0,0,0,0,0,0,0,0,18,ENG,3be1a627
5,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,3c066877
691,14,6,3,7,46,5,3,3,0,0,0,18,18,ENG,3ca7254a
627,15,11,3,10,8,2,0,0,0,0,1,9,18,ENG,3cefa66a
1296,101,31,0,11,6,70,0,0,0,0,3,14,18,ENG,3e5e4e63
938,168,10,0,8,42,158,0,0,0,0,8,28,18,ENG,3e9e06cb
6,1,0,0,0,1,0,1,0,0,0,0,0,18,ENG,3ea50f67
969,30,6,2,6,50,14,10,1,0,0,1,22,18,ENG,3eb22ec9
1709,40,37,5,5,12,3,0,0,0,0,6,11,18,ENG,3f2d59fe
615,160,6,1,2,22,154,0,0,0,0,4,23,18,ENG,3fe6bd8c
29,0,0,0,0,1,0,0,0,0,0,0,0,18,ENG,407feb71
174,19,7,0,0,0,12,0,0,0,0,0,3,18,ENG,4115ce4e
178,6,5,1,3,2,0,0,0,0,0,0,5,18,ENG,422862ea
692,34,2,5,1,34,3,0,0,0,0,4,33,18,ENG,43458538
8,0,0,0,0,0,0,0,0,0,0,0,1,18,ENG,434ad289
1030,31,25,4,3,15,4,1,0,0,0,3,6,18,ENG,436a9dd0
1,1,0,0,0,0,0,0,0,0,0,0,1,18,ENG,43a166b4
595,55,7,1,10,86,7,29,23,2,0,6,29,18,ENG,4468ec10
1385,345,19,0,5,149,277,49,23,13,0,5,69,18,ENG,44781702
1165,26,21,0,5,2,5,0,0,0,0,4,15,18,ENG,450ab6fc
716,459,107,0,0,0,0,0,0,0,0,11,1,18,ENG,4535e4bb
54,4,0,1,1,4,1,3,0,1,1,0,1,18,ENG,453f566a
495,8,0,1,6,39,1,1,0,0,0,4,17,18,ENG,45963054
834,202,2,0,7,68,200,0,0,0,0,5,17,18,ENG,45da6694
9,2,0,0,0,0,2,0,0,0,0,0,0,18,ENG,46b5375e
1077,304,7,0,3,74,293,4,4,0,0,10,23,18,ENG,46ee5234
833,17,9,2,2,8,5,3,2,0,0,2,7,18,ENG,47a34c4f
1927,163,82,4,29,185,3,78,43,18,1,8,60,18,ENG,47b7e3af
846,478,138,0,2,0,0,0,0,0,0,8,0,18,ENG,4806ec67
95,4,1,0,0,1,0,0,0,0,0,1,1,18,ENG,4830e0af
600,12,10,0,8,13,0,2,0,0,0,3,3,18,ENG,495945ef
73,4,0,0,0,7,3,1,0,1,0,0,3,18,ENG,49b05a83
143,17,2,0,1,13,1,3,1,1,0,2,8,18,ENG,4a537185
691,47,2,4,6,30,4,3,2,0,0,2,26,18,ENG,4ab53cdb
714,503,206,0,0,0,0,0,0,0,0,7,1,18,ENG,4b40d9ca
1830,21,19,2,17,6,2,0,0,0,0,3,27,18,ENG,4b511457
1180,48,5,17,0,43,16,1,1,0,0,5,52,18,ENG,4c370d81
77,1,0,0,0,2,0,1,0,0,0,0,0,18,ENG,4cde5509
620,27,0,4,0,16,3,1,0,0,0,3,20,18,ENG,4d034881
417,3,0,1,2,5,0,0,0,0,0,4,9,18,ENG,4e9a0555
1346,361,82,3,23,196,212,67,43,14,2,16,51,18,ENG,4f974391
2,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,5167c97e
97,22,2,1,1,2,20,0,0,0,0,1,7,18,ENG,51a3caf1
1119,20,14,0,14,8,1,4,0,0,4,4,10,18,ENG,51b41c5c
678,51,4,0,5,10,47,0,0,0,0,0,8,18,ENG,51cf8561
546,24,22,1,12,2,2,0,0,0,0,4,4,18,ENG,52105203
223,48,4,0,1,39,44,0,0,0,0,1,10,18,ENG,5271c8f1
432,27,2,0,2,88,13,12,11,0,0,3,40,18,ENG,53538b39
715,424,151,0,18,0,0,0,0,0,0,3,1,18,ENG,53af52f3
2789,122,51,10,22,80,71,0,0,0,0,13,23,18,ENG,53cad200
1161,37,33,1,10,10,2,0,0,0,0,7,10,18,ENG,5540c9dc
646,14,14,0,10,1,0,0,0,0,0,4,2,18,ENG,562eed5c
80,6,4,1,0,1,2,0,0,0,0,0,1,18,ENG,56f6f826
61,10,0,0,0,3,4,1,0,0,0,2,3,18,ENG,57c433c8
776,149,7,1,7,100,142,0,0,0,0,5,45,18,ENG,57df7a11
796,34,16,6,12,18,0,11,5,4,0,1,19,18,ENG,580d52dd
1104,9,8,0,13,5,1,0,0,0,0,3,9,18,ENG,59bf127b
505,11,0,1,1,19,4,0,0,0,0,3,19,18,ENG,59e6e5bf
1430,144,62,3,10,129,1,70,42,20,1,3,32,18,ENG,5a1900a4
535,9,8,0,7,2,1,0,0,0,0,2,5,18,ENG,5a4280b1
849,31,14,5,28,4,1,2,0,0,0,3,11,18,ENG,5acc4a10
70,7,3,0,0,7,1,3,1,1,0,0,5,18,ENG,5b54bf3b
362,6,1,1,0,24,5,0,0,0,0,0,33,18,ENG,5bddccc9
243,4,4,0,0,0,0,0,0,0,0,0,0,18,ENG,5be28712
837,194,7,1,2,68,187,0,0,0,0,4,35,18,ENG,5c2b4f07
581,21,2,5,2,16,4,0,0,0,0,3,20,18,ENG,5dbefa9d
732,26,0,11,6,36,1,0,0,0,0,5,26,18,ENG,5eae500a
361,46,6,2,3,38,18,22,12,4,1,1,19,18,ENG,5eebbfdf
1224,26,23,0,10,1,3,0,0,0,0,0,2,18,ENG,5eecec3d
897,276,30,3,2,56,235,11,3,5,2,3,31,18,ENG,5f09991f
154,4,1,2,1,1,3,0,0,0,0,2,5,18,ENG,601ef102
196,12,1,0,0,0,0,0,0,0,0,1,12,18,ENG,61abe9b6
594,6,0,1,4,6,1,0,0,0,0,5,10,18,ENG,6265208f
18,0,0,2,0,0,0,0,0,0,0,0,0,18,ENG,62a0089e
16,9,1,0,0,0,0,0,0,0,0,0,0,18,ENG,63d17038
1043,242,82,15,11,201,29,88,48,32,4,8,33,18,ENG,6421ec64
98,2,1,0,0,2,1,0,0,0,0,1,3,18,ENG,64b08de7
1726,31,9,3,27,0,0,0,0,0,0,6,13,18,ENG,653ee42d
682,77,4,2,4,59,15,36,26,4,1,4,28,18,ENG,67d23ab0
1216,390,8,1,5,71,382,0,0,0,0,6,59,18,ENG,6813ac34
366,26,0,2,2,6,0,0,0,0,0,1,14,18,ENG,68796d61
234,40,1,0,0,26,24,15,1,12,0,0,3,18,ENG,691bef82
509,57,12,4,2,71,6,38,23,13,0,5,33,18,ENG,6992791d
906,76,31,1,9,9,45,0,0,0,0,1,21,18,ENG,6adbc307
1686,11,7,7,11,9,4,0,0,0,0,10,29,18,ENG,6b47c5db
1026,70,23,4,12,98,14,27,12,12,0,7,25,18,ENG,6c679c6d
44,1,1,0,1,2,0,0,0,0,0,0,4,18,ENG,6c96b263
1151,17,3,12,5,20,11,1,0,1,0,3,27,18,ENG,6ca5ec4b
51,4,0,1,0,3,1,0,0,0,0,0,4,18,ENG,6cc47ae1
1092,136,44,2,7,82,9,47,26,12,0,10,26,18,ENG,6cdd8245
63,2,0,0,0,3,0,2,0,0,0,0,1,18,ENG,6d6f09dc
542,10,3,2,0,33,7,0,0,0,0,1,20,18,ENG,6dfd5af0
1035,43,40,2,21,4,3,0,0,0,0,4,8,18,ENG,6eaed4eb
331,29,7,0,4,1,22,0,0,0,0,1,1,18,ENG,6fd8a334
258,9,0,0,1,53,4,1,1,0,0,2,19,18,ENG,715fc0fe
735,299,74,0,2,0,0,0,0,0,0,5,3,18,ENG,71672fa0
1102,171,45,7,10,190,37,89,35,36,6,6,44,18,ENG,71ef519e
1556,29,18,1,9,11,8,0,0,0,0,8,24,18,ENG,72c812f3
1326,39,35,0,28,3,4,0,0,0,0,3,8,18,ENG,7314bba4
1038,17,11,2,10,35,4,2,1,0,0,7,11,18,ENG,73489527
470,140,9,1,3,45,127,4,4,0,0,3,13,18,ENG,7391c2d9
633,6,0,1,0,3,2,0,0,0,0,4,13,18,ENG,73d9bdc7
991,26,24,1,9,2,2,0,0,0,0,4,10,18,ENG,74b2cd7e
1581,22,8,0,10,19,0,2,2,0,0,5,37,18,ENG,74e12f1e
752,20,7,2,6,54,9,4,0,3,0,0,39,18,ENG,7527558b
568,196,2,0,2,30,194,0,0,0,0,2,18,18,ENG,758dd7f0
689,45,12,1,12,49,9,20,10,4,1,1,15,18,ENG,75f2c59f
88,8,1,0,2,13,0,6,2,2,0,0,5,18,ENG,76c131da
703,152,63,6,0,150,5,75,36,37,0,6,40,18,ENG,76dd1480
451,330,103,0,0,0,0,0,0,0,0,6,0,18,ENG,76eca7e2
5,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,76fa5f80
1005,208,9,0,9,41,199,0,0,0,0,7,25,18,ENG,78803d03
96,6,0,1,0,3,0,0,0,0,0,1,4,18,ENG,78b8ac63
1304,36,26,0,12,0,10,0,0,0,0,7,5,18,ENG,7914b9fe
1368,255,14,0,6,45,241,0,0,0,0,2,19,18,ENG,7a11550b
156,2,1,0,0,2,1,0,0,0,0,1,3,18,ENG,7a1f2c08
696,464,136,0,1,0,0,0,0,0,0,2,1,18,ENG,7b4de647
698,391,101,0,1,0,0,0,0,0,0,3,0,18,ENG,7ba6d84e
601,97,17,0,2,164,37,43,34,5,2,6,38,18,ENG,7bb5f40e
343,22,12,0,6,4,10,0,0,0,0,1,3,18,ENG,7bc34048
47,0,0,0,0,2,0,0,0,0,0,0,2,18,ENG,7c104bb7
75,2,0,0,1,9,2,0,0,0,0,1,5,18,ENG,7c2a398c
470,18,17,0,4,1,1,0,0,0,0,1,8,18,ENG,7c4243d4
9,10,3,0,0,0,0,0,0,0,0,0,0,18,ENG,7ca2d989
26,2,2,0,0,0,0,0,0,0,0,0,0,18,ENG,7ca9f0f0
162,6,0,1,5,1,3,0,0,0,0,1,2,18,ENG,7d2d3329
1139,59,39,2,10,21,0,18,13,0,0,1,13,18,ENG,7d41b619
920,38,22,3,11,28,3,12,9,2,0,5,11,18,ENG,7dbbe367
584,41,0,0,0,34,33,0,0,0,0,5,31,18,ENG,7f4f3e49
526,131,2,0,0,84,128,1,0,0,0,3,33,18,ENG,7fe90ccd
1040,31,17,1,6,6,3,1,0,0,0,3,31,18,ENG,7fec31a0
901,13,12,0,2,0,1,0,0,0,0,4,4,18,ENG,80c31c97
928,66,7,8,1,46,16,24,4,13,0,2,21,18,ENG,810e3c74
699,41,1,14,5,22,0,0,0,0,0,5,35,18,ENG,819aa8e7
1381,32,17,6,3,8,3,10,0,2,0,1,16,18,ENG,819b3158
104,40,12,0,0,0,0,0,0,0,0,0,0,18,ENG,82b1198a
87,1,1,0,0,0,0,0,0,0,0,0,1,18,ENG,82dbf623
543,7,1,1,2,7,1,0,0,0,0,2,20,18,ENG,82e34b69
28,10,2,0,0,3,8,0,0,0,0,0,1,18,ENG,8309b068
81,7,0,0,1,6,0,2,0,0,0,2,5,18,ENG,833fb62e
111,5,3,0,2,1,2,0,0,0,0,0,2,18,ENG,8397a50c
1381,374,31,2,19,137,343,0,0,0,0,5,49,18,ENG,839c14e1
237,167,86,0,0,0,0,0,0,0,0,0,0,18,ENG,85b011bb
102,44,2,0,0,10,42,0,0,0,0,1,5,18,ENG,861e0116
1727,27,22,15,43,28,5,0,0,0,0,9,19,18,ENG,867239d3
2382,299,36,0,28,56,263,0,0,0,0,1,39,18,ENG,86dd77d1
5,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,87449a74
393,4,3,0,1,3,1,0,0,0,0,1,1,18,ENG,87575fd9
1282,64,47,1,43,6,17,0,0,0,0,6,11,18,ENG,875898c7
720,20,19,1,3,0,1,0,0,0,0,4,4,18,ENG,87935cf3
497,15,4,1,1,57,7,4,1,2,0,1,37,18,ENG,8816329f
1249,224,86,18,28,158,39,93,62,11,0,12,34,18,ENG,892d5bb1
53,2,1,0,0,0,1,0,0,0,0,0,2,18,ENG,89cbc961
407,127,13,0,3,57,99,15,3,7,0,1,18,18,ENG,89d10e53
181,4,4,0,5,0,0,0,0,0,0,1,1,18,ENG,89e4b358
718,208,9,0,3,46,199,0,0,0,0,2,30,18,ENG,8a7ff278
955,70,10,0,8,4,60,0,0,0,0,3,13,18,ENG,8aa5f52c
8,0,0,0,0,0,0,0,0,0,0,0,1,18,ENG,8aadeaef
453,131,6,1,2,38,124,1,0,1,0,0,27,18,ENG,8abd0c03
1359,38,34,0,7,4,4,0,0,0,0,4,6,18,ENG,8ae9869d
1251,204,69,10,15,234,6,114,67,38,4,15,48,18,ENG,8aec0537
1094,33,19,5,14,12,7,0,0,0,0,5,15,18,ENG,8b04d6c1
66,22,0,0,0,1,22,0,0,0,0,1,3,18,ENG,8b0d6fe9
2,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,8b6e0db2
767,20,6,4,0,48,8,6,5,0,0,2,35,18,ENG,8b788c01
14,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,8b8e759d
946,84,27,5,18,99,7,49,17,20,0,8,30,18,ENG,8b9ebd03
187,54,9,0,1,8,45,0,0,0,0,1,5,18,ENG,8cceca90
241,6,0,1,0,2,1,0,0,0,0,3,8,18,ENG,8d228291
967,12,4,5,1,17,7,0,0,0,0,3,25,18,ENG,8d3c902d
1052,28,22,0,8,3,6,0,0,0,0,6,8,18,ENG,8df7a2fb
180,132,43,0,1,0,0,0,0,0,0,0,0,18,ENG,8e65a5e5
883,282,55,0,6,0,0,0,0,0,0,2,1,18,ENG,8f62b6ee
206,22,0,1,1,5,0,0,0,0,0,0,10,18,ENG,8f866fe8
119,4,0,1,0,0,0,0,0,0,0,1,6,18,ENG,8f898ba8
336,19,14,0,4,3,5,0,0,0,0,0,4,18,ENG,90f87966
876,30,28,0,10,1,2,0,0,0,0,4,7,18,ENG,914ab9a1
9,0,0,0,0,0,0,0,0,0,0,1,0,18,ENG,91bdc54a
681,30,8,1,3,17,3,10,4,4,0,4,19,18,ENG,9228b07c
955,20,2,6,2,51,8,4,0,1,0,5,35,18,ENG,92e7e919
1383,35,33,2,9,3,2,0,0,0,0,5,17,18,ENG,9306d5ea
804,468,110,0,2,0,0,0,0,0,0,4,2,18,ENG,9328b835
2061,53,44,7,27,25,4,5,1,2,0,3,19,18,ENG,935e6b8f
912,475,171,0,2,0,0,0,0,0,0,3,1,18,ENG,939bc634
99,18,2,0,0,6,16,0,0,0,0,1,1,18,ENG,93ee387c
1126,125,9,2,8,24,116,0,0,0,0,4,17,18,ENG,94b2001f
330,15,8,1,4,4,4,0,0,0,0,3,6,18,ENG,960acc0a
469,114,41,4,7,123,6,67,33,23,8,10,22,18,ENG,96bb8cc2
200,54,1,0,0,6,53,0,0,0,0,1,8,18,ENG,96e0490d
837,261,4,0,2,88,257,0,0,0,0,4,45,18,ENG,97572117
216,3,1,0,1,23,2,0,0,0,0,0,10,18,ENG,977ffc24
2221,270,105,24,28,222,11,125,48,48,6,18,57,18,ENG,980522ec
106,25,0,0,0,9,25,0,0,0,0,0,4,18,ENG,984a5a64
788,80,26,2,5,55,27,24,16,4,1,4,12,18,ENG,987718f5
782,45,1,5,3,23,2,0,0,0,0,0,22,18,ENG,989d5705
433,18,2,1,0,16,14,0,0,0,0,1,15,18,ENG,98be0d02
226,3,1,0,0,8,1,1,1,0,0,0,3,18,ENG,99813635
265,5,2,2,1,7,0,1,0,0,0,2,9,18,ENG,9a104dee
81,1,0,0,0,0,1,0,0,0,0,0,0,18,ENG,9a8c6673
883,274,11,1,12,71,263,0,0,0,0,8,27,18,ENG,9a9c05db
701,219,11,2,5,98,204,4,0,4,0,7,24,18,ENG,9aa186b2
495,15,1,3,5,32,9,5,1,0,0,2,12,18,ENG,9aacb284
794,19,16,9,3,3,2,1,0,0,0,6,6,18,ENG,9c318325
495,89,5,0,2,30,77,7,0,6,0,1,23,18,ENG,9c94165b
1603,409,57,2,9,106,338,14,5,2,0,12,59,18,ENG,9d107085
6,1,1,0,0,0,0,0,0,0,0,0,1,18,ENG,9d597f08
54,38,15,0,0,0,0,0,0,0,0,1,0,18,ENG,9dab6e3b
691,48,0,9,1,16,0,0,0,0,0,5,21,18,ENG,9dbb75ca
222,71,1,0,0,20,70,0,0,0,0,0,12,18,ENG,9e525177
89,2,1,0,0,0,1,0,0,0,0,0,1,18,ENG,9e53837d
404,15,0,1,1,21,3,0,0,0,0,0,13,18,ENG,9f472354
722,89,25,5,3,109,7,57,23,26,0,4,40,18,ENG,9f736ed2
26,1,0,0,0,2,0,0,0,0,0,0,2,18,ENG,9fa0a0b8
1360,37,17,3,3,37,2,9,3,1,4,6,39,18,ENG,9feb8f24
399,14,3,4,0,10,0,6,6,0,0,3,12,18,ENG,a0666d3e
411,16,15,1,3,0,1,0,0,0,0,1,4,18,ENG,a1232f4e
79,21,6,0,0,0,0,0,0,0,0,0,2,18,ENG,a179d516
599,68,7,8,8,81,10,41,24,10,0,7,28,18,ENG,a1d5bd30
49,2,1,0,0,0,1,0,0,0,0,0,0,18,ENG,a32204c9
9,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,a36d4785
1348,83,36,4,30,51,11,25,7,3,1,9,32,18,ENG,a39bb753
39,1,1,1,1,0,0,0,0,0,0,0,1,18,ENG,a3b03921
142,4,4,0,0,1,0,0,0,0,0,1,1,18,ENG,a440d8ca
712,21,21,0,6,1,0,0,0,0,0,3,11,18,ENG,a498e276
7,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG,a53649b7
103,20,0,0,0,7,20,0,0,0,0,0,7,18,ENG,a634b9d2
1542,26,10,11,14,11,14,0,0,0,0,3,19,18,ENG,a65ce836
939,279,14,1,8,71,251,13,1,6,0,8,36,18,ENG,a67a09fb
96,0,0,0,1,0,0,0,0,0,0,0,2,18,ENG,a6951bf8
57,59,27,0,0,0,0,0,0,0,0,4,0,18,ENG,a6de6361
482,139,6,1,1,33,133,0,0,0,0,0,23,18,ENG,a6e316c1
621,122,8,0,4,17,114,0,0,0,0,3,13,18,ENG,a9142dc3
53,5,1,0,0,4,0,1,1,0,0,1,3,18,ENG,aa51343f
454,31,0,1,0,3,0,0,0,0,0,1,12,18,ENG,aa5859cb
209,2,0,2,0,8,0,1,1,0,0,0,11,18,ENG,aa8e289e
639,36,0,3,0,3,0,0,0,0,0,0,14,18,ENG,ab070c55
826,57,9,5,11,69,15,26,15,5,3,5,30,18,ENG,ab651565
98,1,1,1,2,0,0,0,0,0,0,0,2,18,ENG,ab7263c1
443,30,7,5,1,25,2,18,10,6,0,4,12,18,ENG,abe66106
437,49,3,3,8,55,46,0,0,0,0,8,25,18,ENG,ac05f970
120,9,6,0,2,1,3,0,0,0,0,1,5,18,ENG,ac7d7378
2222,58,52,2,19,26,6,0,0,0,0,5,29,18,ENG,ac861941
